experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate,source_plan,platform,canonical_request_sha256,wilson_attacker_low,wilson_attacker_high
00dd071ec3d5e4240f071c34,e-add-archer-b120000-s0-vs-archer,reference,[],A,B,2000,2000,0,0,2,119980,,0,0,0,1714,0,119980,,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,1714,0,85.7055,0,0,0,0,0,0,0.050003208868145,0,0,0,0,0,0,0,0,0,0,963.358,750.642,48.2685,37.5805,0,0,0,0,0,0,0.050086931155193,vps/E-add-archer,vps,6b4a529fbc125b23882833e0aed634bec1b5f0b2174c3e7ece269e3168b0f82f,0.99808295271875,1
00dd071ec3d5e4240f071c34,e-add-archer-b120000-s0-vs-archer,reference,[],B,A,2000,2000,0,0,2,119980,,0,0,0,1714,0,119980,,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,963.591,750.409,48.343,37.447,0,0,0,0,0,0,0.050052508751459,0,0,0,0,0,0,0,0,0,0,0,1714,0,85.783,0,0,0,0,0,0,0.050048424737456,vps/E-add-archer,vps,7e4672019367fb02f1f4413e94829b3f5c23d2fa9d1ba5802105a04a62fdf6a1,0.99808295271875,1
0424ccc59d4c67d04cfdcab2,e-add-archer-b120000-s50-vs-spearman,reference,[],A,B,2000,2000,0,0,4.932,179980,,0,6000,0,1714,0,119980,,0,0,1714,0,0,740.472,2214.2135,37.034,111.084,0,0,0,0,0,0,28.273,815.748,1.4275,40.7485,0,0,0,0,0,0,0.024633292588065,0,0,0,0,0,1639.729,74.271,82.3085,3.703,0,0,0,0,0,0,0,0,0,0,0,0.050181738623104,vps/E-add-archer,vps,13d1cbda649f51078a1e946b4e9184194df949f165e464069a009c5b2c8c0846,0.99808295271875,1
0424ccc59d4c67d04cfdcab2,e-add-archer-b120000-s50-vs-spearman,reference,[],B,A,2000,0,0,2000,6,179980,,0,6000,0,1714,0,119980,,0,0,1714,0,0,195.2025,3207.9395,9.7705,160.7655,0,0,0,0,0,0,0.3545,971.2565,0.021,48.5505,0,0,0,0,0,0,0.028366290698967,0,0,0,0,0,1600.018,113.982,80.259,5.715,0,0,0,0,0,0,0,0,0,0,0,0.050159859976663,vps/E-add-archer,vps,f2c4164a03dcbf66a35f1597441712de88fd27117417fb82effc621c0c505183,1.0842021724855E-19,0.0019170472812529
0aad75b01c82cfbf65be9b39,e-add-archer-b12000-s100-vs-soldier,reference,[],A,B,2000,2000,0,0,4.975,23970,,0,1200,0,171,0,12000,,0,1200,0,0,0,0.187,398.634,0.009,19.9705,0,0,0,0,0,0,0,8.702,0,0.4195,0,0,0,0,0,0,0.0095602836879433,584.531,497.1645,29.243,18.9755,5.9355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040182083333333,vps/E-add-archer,vps,967e0322baa93ba847b375b6eebfc28dcac24930d0c3725a738a6e3659bc3100,0.99808295271875,1
0aad75b01c82cfbf65be9b39,e-add-archer-b12000-s100-vs-soldier,reference,[],B,A,2000,0,0,2000,6,23970,,0,1200,0,171,0,12000,,0,1200,0,0,0,0.615,472.61,0.031,23.7365,0,0,0,0,0,0,0,13.224,0,0.638,0,0,0,0,0,0,0.01177868168544,517.6495,602.892,25.953,23.0305,7.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040819583333333,vps/E-add-archer,vps,2aac3ce863da0e5a99837541064c2284e7e9f46e02634a2d0ea291eae803c922,1.0842021724855E-19,0.0019170472812529
0ab05ddb904db9fd2d77fb7c,e-add-archer-b120000-s5-vs-spearman,reference,[],A,B,2000,7,0,1993,4.03,125980,,0,600,0,1714,0,119980,,0,0,1714,0,0,393.4055,162.3025,19.684,6.1755,1.9745,0,0,0,0,0,484.0005,1103.374,24.096,55.1515,0,0,0,0,0,0,0.046086045404032,0,0,0,0,0,70.7355,1643.2645,3.52,82.137,0,0,0,0,0,0,0,0,0,0,0,0.049974912485414,vps/E-add-archer,vps,aa0f721b444afdea1b27b3f4210dee094ceecec91a7da8c914ae387889c2b80f,0.0016964316970424,0.0072071962532417
0ab05ddb904db9fd2d77fb7c,e-add-archer-b120000-s5-vs-spearman,reference,[],B,A,2000,0,0,2000,7,125980,,0,600,0,1714,0,119980,,0,0,1714,0,0,417.2825,174.349,20.9035,8.7585,0,0,0,0,0,0,274.6885,1415.576,13.6465,70.734,0,0,0,0,0,0,0.049239998412446,0,0,0,0,0,1636.6565,77.3435,82.1855,3.9315,0,0,0,0,0,0,0,0,0,0,0,0.050243290548425,vps/E-add-archer,vps,9d8d0c7cc3f2807d0f734cb554c064bb976fb54a002589ba670a069eb2701594,1.0842021724855E-19,0.0019170472812529
0dabb2fa7f1509548b46ae83,e-add-archer-b120000-s5-vs-archer,reference,[],A,B,2000,2000,0,0,2,125980,,0,600,0,1714,0,119980,,0,0,0,1714,0,302.84,297.16,15.1785,14.874,0,0,0,0,0,0,0,1714,0,85.7055,0,0,0,0,0,0,0.050007223368789,0,0,0,0,0,0,0,0,0,0,1007.077,706.923,50.4685,35.4285,0,0,0,0,0,0,0.050114935822637,vps/E-add-archer,vps,709989d1025693f77b667df6f2f9127f8b0348472fbb53365a3ccccecda2a9ad,0.99808295271875,1
0dabb2fa7f1509548b46ae83,e-add-archer-b120000-s5-vs-archer,reference,[],B,A,2000,2000,0,0,2.0035,125980,,0,600,0,1714,0,119980,,0,0,0,1714,0,600,0,29.935,0,0,0,0,0,0,0,298.8465,1415.1535,14.87,70.7455,0,0,0,0,0,0,0.049947888553739,0,0,0,0,0,0,0,0,0,0,61.8975,1652.1025,3.053,82.7155,0,0,0,0,0,0,0.050039964994166,vps/E-add-archer,vps,5a3034dac504c6967ee5646aba4a318d88417c66642077789f3db457fb53062d,0.99808295271875,1
0dd2ab00935b12562e01d3c8,e-add-archer-b360000-s50-vs-archer,reference,[],A,B,2000,2000,0,0,2,539940,,0,18000,0,5142,0,359940,,0,0,0,5142,0,0,11276.1965,0,564.313,0,0,0,0,0,0,0,3220.339,0,161.1965,0,0,0,0,0,0,0.031349566618513,0,0,0,0,0,0,0,0,0,0,4163.3755,978.6245,208.3705,48.953,0,0,0,0,0,0,0.050043465577596,vps/E-add-archer,vps,874f9a7d4de132e75863edc2b29f5d77477ea83bad7ef96f0def847109d7ab51,0.99808295271875,1
0dd2ab00935b12562e01d3c8,e-add-archer-b360000-s50-vs-archer,reference,[],B,A,2000,0,0,2000,2.9565,539940,,0,18000,0,5142,0,359940,,0,0,0,5142,0,5160.6075,8032.1685,258.402,402.154,0,0,0,0,0,0,0,3767.965,0,188.4955,0,0,0,0,0,0,0.036671194947587,0,0,0,0,0,0,0,0,0,0,4997.8515,144.1485,250.0545,7.21,0,0,0,0,0,0,0.050031991443018,vps/E-add-archer,vps,d20999a1aafb945acc6ae4e2eed2141e46d0eb8395c756bd1841b51c040646cb,1.0842021724855E-19,0.0019170472812529
109c78e1f9ee94ab5bd69640,e-add-archer-b360000-s100-vs-knight,reference,[],A,B,2000,2000,0,0,2,719940,,0,36000,0,5142,0,359700,,0,0,0,0,654,3988.312,0,199.663,0,0,0,0,0,0,0,568.9775,0,28.3905,0,0,0,0,0,0,0,0.0055337458677112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,32.6455,0,0,0.049916666666667,vps/E-add-archer,vps,41a42792c364af1180540216a8640fa94a472522414a973ce1d8b664459e8092,0.99808295271875,1
109c78e1f9ee94ab5bd69640,e-add-archer-b360000-s100-vs-knight,reference,[],B,A,2000,0,0,2000,2,719940,,0,36000,0,5142,0,359700,,0,0,0,0,654,4006.117,0,200.5485,0,0,0,0,0,0,0,571.5375,0,28.495,0,0,0,0,0,0,0,0.0055562060727283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,32.6455,0,0,0.049916666666667,vps/E-add-archer,vps,c8f59b64f6eb0c72c33d92d9f65a8b6466ccde01a03ed0d9594e3dd3a6b9aa58,1.0842021724855E-19,0.0019170472812529
12775f6d2896683911c9d5fd,e-add-archer-b120000-s50-vs-knight,reference,[],A,B,2000,2000,0,0,2,179980,,0,6000,0,1714,0,119900,,0,0,0,0,218,1187.3315,0,59.481,0,0,0,0,0,0,0,338.563,0,16.7885,0,0,0,0,0,0,0,0.0098344538282031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,10.8125,0,0,0.049598623853211,vps/E-add-archer,vps,822cf4078b094c883f6922a786332b4d63477441ef27720682b5dc9c6a0fe6a5,0.99808295271875,1
