family,group,target_budget,opponent,direction,from_level,to_level,from_experiment_id,to_experiment_id,samples_per_point,from_A_win_rate,to_A_win_rate,delta_A_win_rate,from_mean_rounds,to_mean_rounds,delta_mean_rounds,from_budget_A,to_budget_A,delta_budget_A,from_budget_B,to_budget_B,delta_budget_B,from_A_raw_dead,to_A_raw_dead,delta_A_raw_dead,from_A_raw_wounded,to_A_raw_wounded,delta_A_raw_wounded,from_B_raw_dead,to_B_raw_dead,delta_B_raw_dead,from_B_raw_wounded,to_B_raw_wounded,delta_B_raw_wounded,from_A_bench_economic_loss_rate,to_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate
E-add,archer,12000,archer,A-B,0,5,6aee354d6eadf446a8412bbd,d1edb1a0700c929cade69649,2000,1,1,0,2.008,2.002,-0.0060000000000002,11970,12570,600,11970,11970,0,0.8695,30.0465,29.177,170.1305,200.9495,30.819,97.458,101.3105,3.8525,73.542,69.6795,-3.8625,0.049804093567251,0.049831344470963,2.7250903712001E-5
E-add,archer,12000,archer,A-B,5,10,d1edb1a0700c929cade69649,4704ec841faea27abf46ebef,2000,1,1,0,2.002,2.0005,-0.0014999999999996,12570,13170,600,11970,11970,0,30.0465,10.922,-19.1245,200.9495,279.4335,78.484,101.3105,104.9505,3.64,69.6795,66.046,-3.6335,0.049831344470963,0.049757403189066,-7.3941281897E-5
E-add,archer,12000,archer,A-B,10,20,4704ec841faea27abf46ebef,9b84b2283c98c7234103b8ab,2000,1,1,0,2.0005,2,-0.00050000000000017,13170,14370,1200,11970,11970,0,10.922,0,-10.922,279.4335,380.034,100.6005,104.9505,112.5815,7.631,66.046,58.4185,-7.6275,0.049757403189066,0.046187543493389,-0.003569859695677
E-add,archer,12000,archer,A-B,20,35,9b84b2283c98c7234103b8ab,229de75d7b49c2c63d69956e,2000,1,1,0,2,2,0,14370,16170,1800,11970,11970,0,0,0,0,380.034,446.3675,66.3335,112.5815,124.3225,11.741,58.4185,46.6775,-11.741,0.046187543493389,0.037659863945578,-0.008527679547811
E-add,archer,12000,archer,A-B,35,50,229de75d7b49c2c63d69956e,f68b61df91a325d1e732332f,2000,1,1,0,2,2,0,16170,17970,1800,11970,11970,0,0,0,0,446.3675,481.6695,35.302,124.3225,138.899,14.5765,46.6775,32.101,-14.5765,0.037659863945578,0.03111713967724,-0.006542724268338
E-add,archer,12000,archer,A-B,50,100,f68b61df91a325d1e732332f,9d0f5cbcb4f4e3bfc0c4fb0c,2000,1,1,0,2,2,0,17970,23970,6000,11970,11970,0,0,0,0,481.6695,532.8975,51.228,138.899,169.457,30.558,32.101,1.543,-30.558,0.03111713967724,0.019366916979558,-0.011750222697682
E-add,archer,12000,archer,B-A,0,5,6aee354d6eadf446a8412bbd,d1edb1a0700c929cade69649,2000,0,0.043,0.043,2.0075,2.2145,0.207,11970,12570,600,11970,11970,0,97.39,121.523,24.133,73.61,109.4735,35.8635,0.8195,36.186,35.3665,170.1805,134.8085,-35.372,0.050093567251462,0.049750198886237,-0.000343368365225
E-add,archer,12000,archer,B-A,5,10,d1edb1a0700c929cade69649,4704ec841faea27abf46ebef,2000,0.043,0.0295,-0.0135,2.2145,2.0295,-0.185,12570,13170,600,11970,11970,0,121.523,120.652,-0.871,109.4735,169.797,60.3235,36.186,17.0895,-19.0965,134.8085,153.908,19.0995,0.049750198886237,0.049791192103265,4.0993217027996E-5
E-add,archer,12000,archer,B-A,10,20,4704ec841faea27abf46ebef,9b84b2283c98c7234103b8ab,2000,0.0295,0.8995,0.87,2.0295,2.8995,0.87,13170,14370,1200,11970,11970,0,120.652,205.7435,85.0915,169.797,197.697,27.9,17.0895,156.073,138.9835,153.908,14.927,-138.981,0.049791192103265,0.048929018789144,-0.000862173314121
E-add,archer,12000,archer,B-A,20,35,9b84b2283c98c7234103b8ab,229de75d7b49c2c63d69956e,2000,0.8995,1,0.1005,2.8995,2.9445,0.045,14370,16170,1800,11970,11970,0,205.7435,201.2705,-4.473,197.697,309.9165,112.2195,156.073,165.0405,8.9675,14.927,5.9595,-8.9675,0.048929018789144,0.043127087198516,-0.005801931590628
E-add,archer,12000,archer,B-A,35,50,229de75d7b49c2c63d69956e,f68b61df91a325d1e732332f,2000,1,1,0,2.9445,2.609,-0.3355,16170,17970,1800,11970,11970,0,201.2705,145.433,-55.8375,309.9165,392.389,82.4725,165.0405,131.015,-34.0255,5.9595,39.985,34.0255,0.043127087198516,0.034747913188648,-0.008379174009868
E-add,archer,12000,archer,B-A,50,100,f68b61df91a325d1e732332f,9d0f5cbcb4f4e3bfc0c4fb0c,2000,1,1,0,2.609,2.0275,-0.5815,17970,23970,6000,11970,11970,0,145.433,58.882,-86.551,392.389,477.6385,85.2495,131.015,92.3995,-38.6155,39.985,78.6005,38.6155,0.034747913188648,0.019498122653317,-0.015249790535331
E-add,archer,12000,knight,A-B,0,5,a336234b2bd2ac61331e39d4,c36b8bb70dada1335e255c57,2000,0.003,0.939,0.936,1.003,1.9385,0.9355,11970,12570,600,11550,11550,0,73.7485,142.013,68.2645,0,0,0,0.063,19.7165,19.6535,20.937,1.2835,-19.6535,0.021663742690058,0.030848448687351,0.009184705997293
E-add,archer,12000,knight,A-B,5,10,c36b8bb70dada1335e255c57,c80a11b505c6347ef64f5dfe,2000,0.939,1,0.061,1.9385,1.998,0.0595,12570,13170,600,11550,11550,0,142.013,146.536,4.523,0,0,0,19.7165,20.975,1.2585,1.2835,0.025,-1.2585,0.030848448687351,0.025356112376614,-0.005492336310737
E-add,archer,12000,knight,A-B,10,20,c80a11b505c6347ef64f5dfe,6148edd04297948bf65b5caa,2000,1,1,0,1.998,1.9975,-0.00049999999999994,13170,14370,1200,11550,11550,0,146.536,145.684,-0.852,0,0,0,20.975,20.968,-0.0070000000000014,0.025,0.032,0.007,0.025356112376614,0.017869519832985,-0.007486592543629
