family,group,target_budget,opponent,level,direction,scenario_id,experiment_id,source_plan,canonical_request_sha256,shares_A_json,samples,A_wins,draws,B_wins,A_win_rate,mean_rounds,design_nominal_budget_A,design_nominal_budget_B,budget_A,budget_B,A_budget_ratio,A_bench_economic_loss_rate,B_bench_economic_loss_rate,A_initial_soldier,A_raw_dead_soldier,A_raw_wounded_soldier,A_initial_spearman,A_raw_dead_spearman,A_raw_wounded_spearman,A_initial_archer,A_raw_dead_archer,A_raw_wounded_archer,A_initial_knight,A_raw_dead_knight,A_raw_wounded_knight,A_raw_dead,A_raw_wounded,A_projected_dead,A_projected_wounded,A_projected_prisoners,A_design_unspent,B_initial_soldier,B_raw_dead_soldier,B_raw_wounded_soldier,B_initial_spearman,B_raw_dead_spearman,B_raw_wounded_spearman,B_initial_archer,B_raw_dead_archer,B_raw_wounded_archer,B_initial_knight,B_raw_dead_knight,B_raw_wounded_knight,B_raw_dead,B_raw_wounded,B_projected_dead,B_projected_wounded,B_projected_prisoners,B_design_unspent
E-add,archer,12000,archer,0,A-B,e-add-archer-b12000-s0-vs-archer,6aee354d6eadf446a8412bbd,vps/E-add-archer,a5cef95da0740171d974b1b8238a058e26fade3fe8a8f09d6de3182d2fb25476,null,2000,2000,0,0,1,2.008,12000,12000,11970,11970,1,0.049804093567251,0.050380116959064,0,0,0,0,0,0,171,0.8695,170.1305,0,0,0,0.8695,170.1305,0.0475,8.469,0,30,0,0,0,0,0,0,171,97.458,73.542,0,0,0,97.458,73.542,4.903,3.712,0,30
E-add,archer,12000,archer,5,A-B,e-add-archer-b12000-s5-vs-archer,d1edb1a0700c929cade69649,vps/E-add-archer,ef433466eda0cec9cef21603a3a5b3d0f9ee1246970c26f8ce5abe16dbc3c3f6,null,2000,2000,0,0,1,2.002,12600,12000,12570,11970,1.0501253132832,0.049831344470963,0.050397660818713,60,30.0155,29.9805,0,0,0,171,0.031,170.969,0,0,0,30.0465,200.9495,1.535,10.001,0,30,0,0,0,0,0,0,171,101.3105,69.6795,0,0,0,101.3105,69.6795,5.11,3.508,0,30
E-add,archer,12000,archer,10,A-B,e-add-archer-b12000-s10-vs-archer,4704ec841faea27abf46ebef,vps/E-add-archer,c1ff244631ef249be690e885cc7600b71778640e4a0292fbdfd149c1805e6fb9,null,2000,2000,0,0,1,2.0005,13200,12000,13170,11970,1.1002506265664,0.049757403189066,0.050514619883041,120,10.912,108.781,0,0,0,171,0.01,170.6525,0,0,0,10.922,279.4335,0.5475,13.923,0,30,0,0,0,0,0,0,171,104.9505,66.046,0,0,0,104.9505,66.046,5.3085,3.3295,0,30
E-add,archer,12000,archer,20,A-B,e-add-archer-b12000-s20-vs-archer,9b84b2283c98c7234103b8ab,vps/E-add-archer,dab0f1f0bcf1360b37791ac989daf84545bc70a21af0b3aadd1b54cf64ad183e,null,2000,2000,0,0,1,2,14400,12000,14370,11970,1.2005012531328,0.046187543493389,0.05072514619883,240,0,221.8635,0,0,0,171,0,158.1705,0,0,0,0,380.034,0,19.0015,0,30,0,0,0,0,0,0,171,112.5815,58.4185,0,0,0,112.5815,58.4185,5.731,2.943,0,30
E-add,archer,12000,archer,35,A-B,e-add-archer-b12000-s35-vs-archer,229de75d7b49c2c63d69956e,vps/E-add-archer,793508ff8f686db472e35a329df622358852e15101626c19d3b8adb445ddf5b9,null,2000,2000,0,0,1,2,16200,12000,16170,11970,1.3508771929825,0.037659863945578,0.050815789473684,420,0,317.25,0,0,0,171,0,129.1175,0,0,0,0,446.3675,0,22.304,0,30,0,0,0,0,0,0,171,124.3225,46.6775,0,0,0,124.3225,46.6775,6.345,2.3445,0,30
E-add,archer,12000,archer,50,A-B,e-add-archer-b12000-s50-vs-archer,f68b61df91a325d1e732332f,vps/E-add-archer,f0c8d857128bacc07f7866e822dd2d1a4b18e551f71b5abd6a7da235061bb43c,null,2000,2000,0,0,1,2,18000,12000,17970,11970,1.5012531328321,0.03111713967724,0.050789473684211,600,0,375.0065,0,0,0,171,0,106.663,0,0,0,0,481.6695,0,24.1145,0,30,0,0,0,0,0,0,171,138.899,32.101,0,0,0,138.899,32.101,7.083,1.602,0,30
E-add,archer,12000,archer,100,A-B,e-add-archer-b12000-s100-vs-archer,9d0f5cbcb4f4e3bfc0c4fb0c,vps/E-add-archer,d1c493b1173a36b0a5a224f4b4e7566e40e3b3334c02a3c787979b3065f8b48a,null,2000,2000,0,0,1,2,24000,12000,23970,11970,2.0025062656642,0.019366916979558,0.05072514619883,1200,0,466.644,0,0,0,171,0,66.2535,0,0,0,0,532.8975,0,26.7035,0,30,0,0,0,0,0,0,171,169.457,1.543,0,0,0,169.457,1.543,8.6065,0.0675,0,30
E-add,archer,12000,archer,0,B-A,e-add-archer-b12000-s0-vs-archer,6aee354d6eadf446a8412bbd,vps/E-add-archer,22588da900fbea8c00b87d769132d035359f1c3deae9b763847a866d744b79ff,null,2000,0,0,2000,0,2.0075,12000,12000,11970,11970,1,0.050093567251462,0.050266081871345,0,0,0,0,0,0,171,97.39,73.61,0,0,0,97.39,73.61,4.896,3.67,0,30,0,0,0,0,0,0,171,0.8195,170.1805,0,0,0,0.8195,170.1805,0.0385,8.557,0,30
E-add,archer,12000,archer,5,B-A,e-add-archer-b12000-s5-vs-archer,d1edb1a0700c929cade69649,vps/E-add-archer,1a3b8268d8311431bd477ed971cc419f7a8e12a44e6f303c910d1d95b9416647,null,2000,86,0,1914,0.043,2.2145,12600,12000,12570,11970,1.0501253132832,0.049750198886237,0.05053216374269,60,59.9825,0.014,0,0,0,171,61.5405,109.4595,0,0,0,121.523,109.4735,6.0785,5.4365,0.0005,30,0,0,0,0,0,0,171,36.186,134.8085,0,0,0,36.186,134.8085,1.825,6.816,0,30
E-add,archer,12000,archer,10,B-A,e-add-archer-b12000-s10-vs-archer,4704ec841faea27abf46ebef,vps/E-add-archer,0d4092a34c81300f736d72e2eb11ee07e6e76e89a6ea738df948f6824b979bd0,null,2000,59,0,1941,0.0295,2.0295,13200,12000,13170,11970,1.1002506265664,0.049791192103265,0.050295321637427,120,116.558,3.1745,0,0,0,171,4.094,166.6225,0,0,0,120.652,169.797,6.03,8.422,0.0335,30,0,0,0,0,0,0,171,17.0895,153.908,0,0,0,17.0895,153.908,0.8565,7.744,0,30
