level,direction,scenario_id,experiment_id,samples,A_wins,draws,B_wins,mean_rounds,budget_A,budget_B,A_raw_dead,A_raw_dead_archer,A_initial_archer
0,A-B,e-replace-archer-b120000-s0-vs-knight,a4494cb8317e1b5ce276377a,2000,0,0,2000,1,119980,119900,762.9905,762.9905,1714
5,A-B,e-replace-archer-b120000-s5-vs-knight,10bf29f7ab9d433a1e030f53,2000,1729,0,271,1.8645,119960,119900,1422.243,1039.0235,1628
10,A-B,e-replace-archer-b120000-s10-vs-knight,5d0af48916d4a34b39c36218,2000,2000,0,0,2,119940,119900,1525.721,857.176,1542
20,A-B,e-replace-archer-b120000-s20-vs-knight,8ca1b48ad2835737244904b8,2000,2000,0,0,2,119970,119900,1525.761,553.909,1371
35,A-B,e-replace-archer-b120000-s35-vs-knight,d304b4601e83a7a4e4dc7941,2000,2000,0,0,2.0005,119980,119900,1526.238,319.5345,1114
50,A-B,e-replace-archer-b120000-s50-vs-knight,2ee693c00faf7ca2b204af0d,2000,2000,0,0,3,119990,119900,2281.7165,285.0985,857
65,A-B,e-replace-archer-b120000-s65-vs-knight,35492cf502a2010ccba08745,2000,2000,0,0,3,120000,119900,2289.034,163.3995,600
80,A-B,e-replace-archer-b120000-s80-vs-knight,bcc8910f6e291f93a3235d24,2000,2000,0,0,4,119940,119900,3050.7425,104.9775,342
90,A-B,e-replace-archer-b120000-s90-vs-knight,d6da4aea715cfdab9367d899,2000,1998,0,2,5.0005,119970,119900,3802.124,59.2665,171
100,A-B,e-replace-archer-b120000-s100-vs-knight,f7f63efe2c9c6c893563d3d5,2000,0,0,2000,6,120000,119900,4578.001,0,0
0,B-A,e-replace-archer-b120000-s0-vs-knight,a4494cb8317e1b5ce276377a,2000,0,0,2000,1,119980,119900,762.9905,762.9905,1714
5,B-A,e-replace-archer-b120000-s5-vs-knight,10bf29f7ab9d433a1e030f53,2000,0,0,2000,1.8645,119960,119900,1422.243,1039.0235,1628
10,B-A,e-replace-archer-b120000-s10-vs-knight,5d0af48916d4a34b39c36218,2000,0,0,2000,2,119940,119900,1525.721,857.176,1542
20,B-A,e-replace-archer-b120000-s20-vs-knight,8ca1b48ad2835737244904b8,2000,0,0,2000,2,119970,119900,1525.773,553.912,1371
35,B-A,e-replace-archer-b120000-s35-vs-knight,d304b4601e83a7a4e4dc7941,2000,2000,0,0,3,119980,119900,2288.354,479.57,1114
50,B-A,e-replace-archer-b120000-s50-vs-knight,2ee693c00faf7ca2b204af0d,2000,2000,0,0,3.0595,119990,119900,2321.384,290.094,857
65,B-A,e-replace-archer-b120000-s65-vs-knight,35492cf502a2010ccba08745,2000,2000,0,0,4,120000,119900,3048.697,217.533,600
80,B-A,e-replace-archer-b120000-s80-vs-knight,bcc8910f6e291f93a3235d24,2000,2000,0,0,5,119940,119900,3775.3005,130.0255,342
90,B-A,e-replace-archer-b120000-s90-vs-knight,d6da4aea715cfdab9367d899,2000,1566,0,434,5.7825,119970,119900,4358.0915,67.907,171
100,B-A,e-replace-archer-b120000-s100-vs-knight,f7f63efe2c9c6c893563d3d5,2000,0,0,2000,6,120000,119900,4578.001,0,0
