level,direction,scenario_id,experiment_id,samples,A_wins,draws,B_wins,mean_rounds,budget_A,budget_B,A_raw_dead,A_raw_dead_archer,A_initial_archer
0,A-B,x-archer-cut-00-b120000-vs-balanced,ae910f58f13e0f162c81779d,2000,384,0,1616,7.3955,119590,119620,2852.4235,0,0
10,A-B,x-archer-cut-01-b120000-vs-balanced,3486dc6e75cd56f2d2c90b25,2000,1973,0,27,6,119560,119620,2210.1265,36.83,171
20,A-B,x-archer-cut-02-b120000-vs-balanced,1d5acd0a694991d74a227711,2000,2000,0,0,5,119530,119620,1781.653,71.9875,342
30,A-B,x-archer-cut-03-b120000-vs-balanced,c0fffbf0a8f39281fc4e18fe,2000,2000,0,0,4,119570,119620,1356.3985,104.6245,514
40,A-B,x-archer-cut-04-b120000-vs-balanced,d1af11656644ef3f79ab29c8,2000,607,0,1393,3.9985,119540,119620,1379.273,199.2085,685
50,A-B,x-archer-cut-05-b120000-vs-balanced,48ef0b8911198ed49fd09442,2000,63,0,1937,3,119580,119620,896.585,262.155,857
60,A-B,x-archer-cut-06-b120000-vs-balanced,5a475f29b91eee6124a8b222,2000,0,0,2000,3,119550,119620,673.021,612.2175,1028
0,B-A,x-archer-cut-00-b120000-vs-balanced,ae910f58f13e0f162c81779d,2000,1997,0,3,6.0015,119590,119620,2362.698,0,0
10,B-A,x-archer-cut-01-b120000-vs-balanced,3486dc6e75cd56f2d2c90b25,2000,1786,0,214,5.1745,119560,119620,2000.791,29.2525,171
20,B-A,x-archer-cut-02-b120000-vs-balanced,1d5acd0a694991d74a227711,2000,761,0,1239,5,119530,119620,1974.2645,69.41,342
30,B-A,x-archer-cut-03-b120000-vs-balanced,c0fffbf0a8f39281fc4e18fe,2000,37,0,1963,4.9855,119570,119620,2014.7145,138.522,514
40,B-A,x-archer-cut-04-b120000-vs-balanced,d1af11656644ef3f79ab29c8,2000,0,0,2000,4,119540,119620,1507.522,190.612,685
50,B-A,x-archer-cut-05-b120000-vs-balanced,48ef0b8911198ed49fd09442,2000,0,0,2000,3,119580,119620,942.673,243.2675,857
60,B-A,x-archer-cut-06-b120000-vs-balanced,5a475f29b91eee6124a8b222,2000,0,0,2000,3,119550,119620,604.0685,555.4675,1028
