experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate,source_plan,platform,canonical_request_sha256,wilson_attacker_low,wilson_attacker_high
7b9f91b54c3f019cffba5099,c1-archer-n100,reference,[],A,B,8000,7999,0,1,2.036375,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2.49825,97.50175,0.12675,4.870625,0,0,0,0,0,0,0.04997375,0,0,0,0,0,0,0,0,0,0,58.962125,41.037875,2.9655,2.04525,0,0,0,0,0,0,0.0501075,pc/C1-mirrors-independent,pc,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,0.99929223400997,0.99997793408984
7b9f91b54c3f019cffba5099,c1-archer-n100,reference,[],B,A,8000,7997,0,3,2.03675,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,59.250625,40.749375,2.97175,2.041375,0,0,0,0,0,0,0.05013125,0,0,0,0,0,0,0,0,0,0,2.4995,97.5005,0.123375,4.864,0,0,0,0,0,0,0.04987375,pc/C1-mirrors-independent,pc,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,0.9988979499273,0.99987245814846
908d0045111799bcef061319,c1-spearman-n100,reference,[],A,B,8000,0,0,8000,6.9665,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,49.245125,49.206125,2.478125,2.4345,0,0,0,0,0,0,0,0,0,0,0,0.04912625,0,0,0,0,0,0.001625,87.413875,0,4.374125,0,0,0,0,0,0,0,0,0,0,0,0.04374125,pc/C1-mirrors-independent,pc,786a18d8064f8c7dcc4b60b5eabcb8c9030533b4baf6d27543e835161587201c,2.7105054312138E-20,0.00047995188815998
908d0045111799bcef061319,c1-spearman-n100,reference,[],B,A,8000,0,0,8000,6.975625,7000,,0,0,100,0,0,7000,,0,0,100,0,0,0,0,0,0,0,0.002125,87.474375,0.000125,4.341125,0,0,0,0,0,0,0,0,0,0,0,0.0434125,0,0,0,0,0,49.3865,49.071625,2.489,2.452,0,0,0,0,0,0,0,0,0,0,0,0.04941,pc/C1-mirrors-independent,pc,68631356f4bbfa2b305ea68a0576fe8b9cdad3d669667ce6b808466377441763,2.7105054312138E-20,0.00047995188815998
aa1c981e54380d9949edf44c,c1-archer-n5,reference,[],A,B,8000,6116,0,1884,2.27125,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.553375,3.443125,0.079,0.17825,0,0,0,0,0,0,0.05145,0,0,0,0,0,0,0,0,0,0,3.519,1.478375,0.1835,0.075,0,0,0,0,0,0,0.0517,pc/C1-mirrors-independent,pc,bd12a5a78c568d6b5c1ab89cb7d325df18342e8517e74f80b756ed7dae6feda6,0.7550764655256,0.77366963992556
aa1c981e54380d9949edf44c,c1-archer-n5,reference,[],B,A,8000,6253,0,1747,2.2615,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.5495,1.4485,0.17975,0.07675,0,0,0,0,0,0,0.0513,0,0,0,0,0,0,0,0,0,0,1.476125,3.519125,0.077375,0.17675,0,0,0,0,0,0,0.050825,pc/C1-mirrors-independent,pc,0bdeed4a43bc8fd151badff6c97de2ed94717f6c2663fd8897c3477b1a1dc145,0.77243776249441,0.79054190460459
da81eadf3116e296280daa26,c1-knight-n1,reference,[],A,B,8000,2074,0,5926,1.221375,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74075,0.257875,0.037625,0.012,0,0.049625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754875,0.243625,0.040125,0.012125,0,0.05225,pc/C1-mirrors-independent,pc,fdda927fef17d92198825ed51994a04ae43f1b305c00de4e8c7d71d3cf85d672,0.24976434838447,0.26896674844967
da81eadf3116e296280daa26,c1-knight-n1,reference,[],B,A,8000,1961,0,6039,1.221375,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74075,0.257875,0.037625,0.012,0,0.049625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754875,0.243625,0.040125,0.012125,0,0.05225,pc/C1-mirrors-independent,pc,d4924aff0548a309f58ddb50d14e4c8c9933284154ef1d2b7b4a75b4ab579f50,0.23582264450561,0.25467201096938
29ca0c0dda9b862da40789e2,c2-archer-n100,reference,"{""defense"":""0.75"",""rounds"":2}",A,B,8000,8000,0,0,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.15875,99.84125,0.008,4.98,0,0,0,0,0,0,0.04988,0,0,0,0,0,0,0,0,0,0,56.419125,43.580875,2.832625,2.17275,0,0,0,0,0,0,0.05005375,pc/C2-archer-defense-independent,pc,1d0fe16571858adca486822d5adf4bd2ceb3827daafc5410dfc8e18555d1c0fc,0.99952004811184,1
29ca0c0dda9b862da40789e2,c2-archer-n100,reference,"{""defense"":""0.75"",""rounds"":2}",B,A,8000,8000,0,0,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.66725,43.33275,2.846125,2.17,0,0,0,0,0,0,0.05016125,0,0,0,0,0,0,0,0,0,0,0.148875,99.851125,0.00675,4.983125,0,0,0,0,0,0,0.04989875,pc/C2-archer-defense-independent,pc,9dcd100aab702ab2ea3fb6a66774d8e34ecac3d9c3ba47bdabcc00794ae2b324,0.99952004811184,1
