comparison_id,source_plan,comparison_type,scenario_id,composition_id,axis_paths_json,axes_json,reference_experiment_id,variant_experiment_id,direction,attacker,defender,reference_request_sha256,variant_request_sha256,base_seed,repetitions,weather_A,weather_B,modifiers_A_json,modifiers_B_json,reference_budget_A,variant_budget_A,reference_target_budget_A,variant_target_budget_A,reference_remainder_A,variant_remainder_A,reference_A_initial_soldier,variant_A_initial_soldier,reference_A_initial_spearman,variant_A_initial_spearman,reference_A_initial_archer,variant_A_initial_archer,reference_A_initial_knight,variant_A_initial_knight,reference_budget_B,variant_budget_B,reference_target_budget_B,variant_target_budget_B,reference_remainder_B,variant_remainder_B,reference_B_initial_soldier,variant_B_initial_soldier,reference_B_initial_spearman,variant_B_initial_spearman,reference_B_initial_archer,variant_B_initial_archer,reference_B_initial_knight,variant_B_initial_knight,reference_attacker_wins,variant_attacker_wins,delta_attacker_wins,reference_draws,variant_draws,delta_draws,reference_attacker_losses,variant_attacker_losses,delta_attacker_losses,reference_mean_rounds,variant_mean_rounds,delta_mean_rounds,reference_attacker_win_rate,variant_attacker_win_rate,delta_attacker_win_rate,reference_A_raw_dead,variant_A_raw_dead,delta_A_raw_dead,reference_A_raw_wounded,variant_A_raw_wounded,delta_A_raw_wounded,reference_A_projected_dead,variant_A_projected_dead,delta_A_projected_dead,reference_A_projected_wounded,variant_A_projected_wounded,delta_A_projected_wounded,reference_A_projected_prisoners,variant_A_projected_prisoners,delta_A_projected_prisoners,reference_A_bench_economic_loss_rate,variant_A_bench_economic_loss_rate,delta_A_bench_economic_loss_rate,reference_B_raw_dead,variant_B_raw_dead,delta_B_raw_dead,reference_B_raw_wounded,variant_B_raw_wounded,delta_B_raw_wounded,reference_B_projected_dead,variant_B_projected_dead,delta_B_projected_dead,reference_B_projected_wounded,variant_B_projected_wounded,delta_B_projected_wounded,reference_B_projected_prisoners,variant_B_projected_prisoners,delta_B_projected_prisoners,reference_B_bench_economic_loss_rate,variant_B_bench_economic_loss_rate,delta_B_bench_economic_loss_rate
4e67154cc4d28c993820f37e,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""0.75"",""rounds"":2}",746de7156ceffbc9bd9011ba,29ca0c0dda9b862da40789e2,A-B,A,B,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,1d0fe16571858adca486822d5adf4bd2ceb3827daafc5410dfc8e18555d1c0fc,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7999,8000,1,0,0,0,1,0,-1,2.036375,2,-0.036375,0.999875,1,0.00012500000000004,2.49825,0.15875,-2.3395,97.50175,99.84125,2.3395,0.12675,0.008,-0.11875,4.870625,4.98,0.109375,0,0,0,0.04997375,0.04988,-9.3750000000004E-5,58.962125,56.419125,-2.543,41.037875,43.580875,2.543,2.9655,2.832625,-0.132875,2.04525,2.17275,0.1275,0,0,0,0.0501075,0.05005375,-5.3749999999998E-5
3412593f19dffa96a070624c,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""0.75"",""rounds"":2}",746de7156ceffbc9bd9011ba,29ca0c0dda9b862da40789e2,B-A,B,A,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,9dcd100aab702ab2ea3fb6a66774d8e34ecac3d9c3ba47bdabcc00794ae2b324,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7997,8000,3,0,0,0,3,0,-3,2.03675,2,-0.03675,0.999625,1,0.00037500000000001,59.250625,56.66725,-2.583375,40.749375,43.33275,2.583375,2.97175,2.846125,-0.125625,2.041375,2.17,0.128625,0,0,0,0.05013125,0.05016125,3.0000000000009E-5,2.4995,0.148875,-2.350625,97.5005,99.851125,2.350625,0.123375,0.00675,-0.116625,4.864,4.983125,0.119125,0,0,0,0.04987375,0.04989875,2.5000000000004E-5
4d75fb62174be6e99abdbd64,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""2"",""rounds"":2}",746de7156ceffbc9bd9011ba,4d04da6cd75f4db421fb71d4,A-B,A,B,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,4e912d70d095a8efec9fd1d318dfc00f2af094a2c0b022caa69be55a58165e2d,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7999,0,-7999,0,0,0,1,8000,7999,2.036375,1.000125,-1.03625,0.999875,0,-0.999875,2.49825,75.1365,72.63825,97.50175,24.8635,-72.63825,0.12675,3.767875,3.641125,4.870625,1.24825,-3.622375,0,0,0,0.04997375,0.05016125,0.0001875,58.962125,0.00325,-58.958875,41.037875,99.99675,58.958875,2.9655,0,-2.9655,2.04525,4.990125,2.944875,0,0,0,0.0501075,0.04990125,-0.00020625000000001
551cae6789b64e5a0cac7246,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""2"",""rounds"":2}",746de7156ceffbc9bd9011ba,4d04da6cd75f4db421fb71d4,B-A,B,A,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,d4ff4d0d0227bd40674eeb75bfd230ef876663b222babb52461e514e7d8bc206,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7997,0,-7997,0,0,0,3,8000,7997,2.03675,1,-1.03675,0.999625,0,-0.999625,59.250625,0,-59.250625,40.749375,100,59.250625,2.97175,0,-2.97175,2.041375,4.989875,2.9485,0,0,0,0.05013125,0.04989875,-0.0002325,2.4995,74.69175,72.19225,97.5005,25.30825,-72.19225,0.123375,3.744375,3.621,4.864,1.251125,-3.612875,0,0,0,0.04987375,0.049955,8.1250000000005E-5
c2e658ee122bcbc11352059a,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""2""}",746de7156ceffbc9bd9011ba,bc9ceb3d57aa6cd5b3ec25e8,A-B,A,B,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,e19f503578ca41f707554c96af0738b429eeda9bbe0ee8f0f220f14f7f9ca593,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7999,0,-7999,0,0,0,1,8000,7999,2.036375,1.000125,-1.03625,0.999875,0,-0.999875,2.49825,75.1365,72.63825,97.50175,24.8635,-72.63825,0.12675,3.767875,3.641125,4.870625,1.24825,-3.622375,0,0,0,0.04997375,0.05016125,0.0001875,58.962125,0.00325,-58.958875,41.037875,99.99675,58.958875,2.9655,0,-2.9655,2.04525,4.990125,2.944875,0,0,0,0.0501075,0.04990125,-0.00020625000000001
1f4d9c397de44d681f4a230f,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""2""}",746de7156ceffbc9bd9011ba,bc9ceb3d57aa6cd5b3ec25e8,B-A,B,A,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,7bdc284b57320d2b87548ed338538200eb5ec676cf8765803d976925600d5626,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7997,0,-7997,0,0,0,3,8000,7997,2.03675,1,-1.03675,0.999625,0,-0.999625,59.250625,0,-59.250625,40.749375,100,59.250625,2.97175,0,-2.97175,2.041375,4.989875,2.9485,0,0,0,0.05013125,0.04989875,-0.0002325,2.4995,74.69175,72.19225,97.5005,25.30825,-72.19225,0.123375,3.744375,3.621,4.864,1.251125,-3.612875,0,0,0,0.04987375,0.049955,8.1250000000005E-5
74e2d35ef3e2ffdce344ead8,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""1""}",746de7156ceffbc9bd9011ba,ce1bee301f21bfc717f4cba9,A-B,A,B,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,1fcc4e42953a06535ca9266e2fbdbe654f0a16e02c2584fbbf05a089852f990d,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7999,3899,-4100,0,0,0,1,4101,4100,2.036375,2.001625,-0.03475,0.999875,0.487375,-0.5125,2.49825,56.78175,54.2835,97.50175,43.21825,-54.2835,0.12675,2.8505,2.72375,4.870625,2.16375,-2.706875,0,0,0,0.04997375,0.0501425,0.00016875,58.962125,56.533,-2.429125,41.037875,43.467,2.429125,2.9655,2.8385,-0.127,2.04525,2.1675,0.12225,0,0,0,0.0501075,0.05006,-4.7499999999999E-5
9dec42309675a77cac33a874,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""1""}",746de7156ceffbc9bd9011ba,ce1bee301f21bfc717f4cba9,B-A,B,A,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,c7666935f48292c188e9cb8e6d666fe4b593eee01896fd0e648002b842913a7f,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7997,3917,-4080,0,0,0,3,4083,4080,2.03675,2.001625,-0.035125,0.999625,0.489625,-0.51,59.250625,56.78175,-2.468875,40.749375,43.21825,2.468875,2.97175,2.8505,-0.12125,2.041375,2.16375,0.122375,0,0,0,0.05013125,0.0501425,1.1250000000004E-5,2.4995,56.533,54.0335,97.5005,43.467,-54.0335,0.123375,2.8385,2.715125,4.864,2.1675,-2.6965,0,0,0,0.04987375,0.05006,0.00018625000000001
16d4db724ee5748dcea91cc9,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""1"",""rounds"":2}",746de7156ceffbc9bd9011ba,fdcbd189d0b24a09047f2838,A-B,A,B,deb52954fc5ec0c66fd793c186e81a12407a5cba77f12f45476a1b1ae81be592,cd12c3fd11153c1c1096defc6c4d178b43affa5e43b9e528d634696a21be62b7,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7999,3904,-4095,0,0,0,1,4096,4095,2.036375,2,-0.036375,0.999875,0.488,-0.511875,2.49825,56.66725,54.169,97.50175,43.33275,-54.169,0.12675,2.846125,2.719375,4.870625,2.17,-2.700625,0,0,0,0.04997375,0.05016125,0.0001875,58.962125,56.419125,-2.543,41.037875,43.580875,2.543,2.9655,2.832625,-0.132875,2.04525,2.17275,0.1275,0,0,0,0.0501075,0.05005375,-5.3749999999998E-5
863d17f678736a0157c5f9be,pc/C2-archer-defense-independent,axis,c2-archer-n100,reference,"{""defense"":""units.archer.defendingEfficiency"",""rounds"":""combat.maxRounds""}","{""defense"":""1"",""rounds"":2}",746de7156ceffbc9bd9011ba,fdcbd189d0b24a09047f2838,B-A,B,A,0ddcb2c1cbd2953c21f64936f08597cd770ca3085f7e713d8ad31fd58b96ca31,f9f29c9ff88b3dfa0d7ece03ae7fea5c2cab900540de22eef5bbd940db8e607d,10000042,8000,neutral,neutral,[],[],7000,7000,,,0,0,0,0,0,0,100,100,0,0,7000,7000,,,0,0,0,0,0,0,100,100,0,0,7997,3924,-4073,0,0,0,3,4076,4073,2.03675,2,-0.03675,0.999625,0.4905,-0.509125,59.250625,56.66725,-2.583375,40.749375,43.33275,2.583375,2.97175,2.846125,-0.125625,2.041375,2.17,0.128625,0,0,0,0.05013125,0.05016125,3.0000000000009E-5,2.4995,56.419125,53.919625,97.5005,43.580875,-53.919625,0.123375,2.832625,2.70925,4.864,2.17275,-2.69125,0,0,0,0.04987375,0.05005375,0.00018000000000001
