experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
0b53fec74bf7cdcaf01e03ed,d1-archer-n1,reference,[],A,B,2000,1002,0,998,2.402,70,,0,0,0,1,0,70,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.499,0.487,0.0315,0.027,0,0,0,0,0,0,0.0585,0,0,0,0,0,0,0,0,0,0,0.78,0.218,0.039,0.013,0,0,0,0,0,0,0.052
0b53fec74bf7cdcaf01e03ed,d1-archer-n1,reference,[],B,A,2000,1037,0,963,2.3855,70,,0,0,0,1,0,70,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.784,0.207,0.0475,0.0115,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0.4815,0.508,0.022,0.028,0,0,0,0,0,0,0.05
1acede9ad5e4329c5ccb48aa,d1-soldier-n1,reference,[],A,B,2000,249,0,1751,18.9045,10,,0,1,0,0,0,10,,0,1,0,0,0,0.128,0.7455,0.006,0.027,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.128,0.741,0.0025,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037
1acede9ad5e4329c5ccb48aa,d1-soldier-n1,reference,[],B,A,2000,249,0,1751,18.9045,10,,0,1,0,0,0,10,,0,1,0,0,0,0.128,0.7455,0.006,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.128,0.741,0.0025,0.028,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305
2d0d29cc3df4aaddb8922b5a,d1-knight-n50,reference,[],A,B,2000,904,0,1096,1.0225,27500,,0,0,0,0,50,27500,,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9835,24.0165,1.3045,1.178,0,0.04965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6425,24.3575,1.282,1.227,0,0.05018
2d0d29cc3df4aaddb8922b5a,d1-knight-n50,reference,[],B,A,2000,971,0,1029,1.0225,27500,,0,0,0,0,50,27500,,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9835,24.0165,1.3045,1.178,0,0.04965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6425,24.3575,1.282,1.227,0,0.05018
378e783df9ee1f30518548bd,d1-archer-n50,reference,[],A,B,2000,1988,0,12,2.1045,3500,,0,0,0,50,0,3500,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,3.851,46.149,0.195,2.268,0,0,0,0,0,0,0.04926,0,0,0,0,0,0,0,0,0,0,32.2015,17.7985,1.5865,0.8725,0,0,0,0,0,0,0.04918
378e783df9ee1f30518548bd,d1-archer-n50,reference,[],B,A,2000,1991,0,9,2.0965,3500,,0,0,0,50,0,3500,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,31.886,18.114,1.6235,0.8875,0,0,0,0,0,0,0.05022,0,0,0,0,0,0,0,0,0,0,3.6425,46.3575,0.197,2.3655,0,0,0,0,0,0,0.05125
3d73ce795f13eb9fe831bb47,d1-spearman-n50,reference,[],A,B,2000,0,0,2000,6.977,3500,,0,0,50,0,0,3500,,0,0,50,0,0,0,0,0,0,0,25.25,23.8135,1.2755,1.206,0,0,0,0,0,0,0,0,0,0,0,0.04963,0,0,0,0,0,0.006,43.699,0,2.2415,0,0,0,0,0,0,0,0,0,0,0,0.04483
3d73ce795f13eb9fe831bb47,d1-spearman-n50,reference,[],B,A,2000,0,0,2000,6.981,3500,,0,0,50,0,0,3500,,0,0,50,0,0,0,0,0,0,0,0.003,43.664,0,2.2135,0,0,0,0,0,0,0,0,0,0,0,0.04427,0,0,0,0,0,25.3855,23.682,1.2605,1.2155,0,0,0,0,0,0,0,0,0,0,0,0.04952
45fdfb9fe463f1107456147e,d1-soldier-n10,reference,[],A,B,2000,777,0,1223,19.8165,100,,0,10,0,0,0,100,,0,10,0,0,0,1.299,7.4385,0.072,0.325,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397,1.3055,7.4185,0.0645,0.3515,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416
45fdfb9fe463f1107456147e,d1-soldier-n10,reference,[],B,A,2000,772,0,1228,19.8165,100,,0,10,0,0,0,100,,0,10,0,0,0,1.299,7.4385,0.072,0.352,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424,1.3055,7.4185,0.0645,0.3315,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396
4864dc01e3198cf74054b789,d1-soldier-n100,reference,[],A,B,2000,933,0,1067,20,1000,,0,100,0,0,0,1000,,0,100,0,0,0,13.3355,74.4615,0.6685,3.2475,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03916,13.3655,74.4185,0.674,3.2895,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039635
4864dc01e3198cf74054b789,d1-soldier-n100,reference,[],B,A,2000,929,0,1071,20,1000,,0,100,0,0,0,1000,,0,100,0,0,0,13.3355,74.4615,0.6685,3.3155,0.4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03984,13.3655,74.4185,0.674,3.226,0.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039
4a4614b7b773f5132ab25e8d,d1-knight-n100,reference,[],A,B,2000,961,0,1039,1.003,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5375,49.4625,2.5,2.426,0,0.04926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1045,49.8955,2.518,2.482,0,0.05
4a4614b7b773f5132ab25e8d,d1-knight-n100,reference,[],B,A,2000,992,0,1008,1.003,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5375,49.4625,2.5,2.426,0,0.04926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1045,49.8955,2.518,2.482,0,0.05
4c04149294704d0f8b790bcc,d1-knight-n5,reference,[],A,B,2000,772,0,1228,1.1055,2750,,0,0,0,0,5,2750,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.022,1.978,0.1645,0.088,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9895,2.0105,0.1535,0.1065,0,0.052
4c04149294704d0f8b790bcc,d1-knight-n5,reference,[],B,A,2000,793,0,1207,1.1055,2750,,0,0,0,0,5,2750,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.022,1.978,0.1645,0.088,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9895,2.0105,0.1535,0.1065,0,0.052
5bd69d40a6f81524f58519a7,d1-knight-n1,reference,[],A,B,2000,498,0,1502,1.212,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751,0.249,0.0415,0.012,0,0.0535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.2695,0.0405,0.0115,0,0.052
5bd69d40a6f81524f58519a7,d1-knight-n1,reference,[],B,A,2000,544,0,1456,1.212,550,,0,0,0,0,1,550,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751,0.249,0.0415,0.012,0,0.0535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.2695,0.0405,0.0115,0,0.052
5fa31be922d9fc2961a07a2c,d1-spearman-n1,reference,[],A,B,2000,24,0,1976,8.2795,70,,0,0,1,0,0,70,,0,0,1,0,0,0,0,0,0,0,0.988,0.012,0.052,0.001,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0.0195,0.901,0.002,0.047,0,0,0,0,0,0,0,0,0,0,0,0.049
