experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
011c274b9df5d3efde14b4e0,d2-archer-n5,reference,"{""defense"":""1.5"",""rounds"":2}",A,B,2000,214,0,1786,1.8775,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4.103,0.8915,0.2125,0.0365,0,0,0,0,0,0,0.0498,0,0,0,0,0,0,0,0,0,0,2.1055,2.885,0.1025,0.1435,0,0,0,0,0,0,0.0492
011c274b9df5d3efde14b4e0,d2-archer-n5,reference,"{""defense"":""1.5"",""rounds"":2}",B,A,2000,206,0,1794,1.873,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.104,2.89,0.1145,0.1425,0,0,0,0,0,0,0.0514,0,0,0,0,0,0,0,0,0,0,4.0805,0.9135,0.198,0.0565,0,0,0,0,0,0,0.0509
086c43e726aaf2c7ea9160ce,d2-archer-n5,reference,"{""defense"":""0.5"",""rounds"":2}",A,B,2000,1657,0,343,1.9985,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0045,4.9,0,0.2285,0,0,0,0,0,0,0.0457,0,0,0,0,0,0,0,0,0,0,2.487,2.509,0.124,0.1245,0,0,0,0,0,0,0.0497
086c43e726aaf2c7ea9160ce,d2-archer-n5,reference,"{""defense"":""0.5"",""rounds"":2}",B,A,2000,1671,0,329,1.999,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.493,2.505,0.135,0.123,0,0,0,0,0,0,0.0516,0,0,0,0,0,0,0,0,0,0,0.002,4.9025,0,0.2465,0,0,0,0,0,0,0.0493
08e88c86ae3277f13eb9e3f9,d2-archer-n5,reference,"{""defense"":""0.5""}",A,B,2000,1996,0,4,2.338,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0685,4.859,0.003,0.227,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,3.8405,1.158,0.187,0.063,0,0,0,0,0,0,0.05
08e88c86ae3277f13eb9e3f9,d2-archer-n5,reference,"{""defense"":""0.5""}",B,A,2000,1997,0,3,2.327,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.8215,1.1785,0.1975,0.06,0,0,0,0,0,0,0.0515,0,0,0,0,0,0,0,0,0,0,0.07,4.861,0.004,0.245,0,0,0,0,0,0,0.0498
095fb4543711da057ad34380,d2-archer-n100,reference,"{""defense"":""1.75""}",A,B,2000,1,0,1999,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,99.6765,0.3235,5.004,0.0115,0,0,0,0,0,0,0.050155,0,0,0,0,0,0,0,0,0,0,56.62,43.38,2.7945,2.1895,0,0,0,0,0,0,0.04984
095fb4543711da057ad34380,d2-archer-n100,reference,"{""defense"":""1.75""}",B,A,2000,0,0,2000,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.4125,43.5875,2.852,2.1275,0,0,0,0,0,0,0.049795,0,0,0,0,0,0,0,0,0,0,99.705,0.295,5.017,0.008,0,0,0,0,0,0,0.05025
0978d6337fd1dbc49e45d2d4,d2-archer-n5,reference,"{""defense"":""1"",""rounds"":2}",A,B,2000,846,0,1154,1.9975,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.484,2.514,0.1345,0.124,0,0,0,0,0,0,0.0517,0,0,0,0,0,0,0,0,0,0,2.482,2.514,0.124,0.1245,0,0,0,0,0,0,0.0497
0978d6337fd1dbc49e45d2d4,d2-archer-n5,reference,"{""defense"":""1"",""rounds"":2}",B,A,2000,819,0,1181,1.9975,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.484,2.514,0.1345,0.124,0,0,0,0,0,0,0.0517,0,0,0,0,0,0,0,0,0,0,2.482,2.514,0.124,0.1245,0,0,0,0,0,0,0.0497
0b637142ac92453d2284e351,d2-archer-n100,reference,"{""defense"":""1""}",A,B,2000,1007,0,993,2.001,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.523,43.477,2.859,2.123,0,0,0,0,0,0,0.04982,0,0,0,0,0,0,0,0,0,0,56.7265,43.2735,2.798,2.1855,0,0,0,0,0,0,0.049835
0b637142ac92453d2284e351,d2-archer-n100,reference,"{""defense"":""1""}",B,A,2000,950,0,1050,2.001,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.523,43.477,2.859,2.123,0,0,0,0,0,0,0.04982,0,0,0,0,0,0,0,0,0,0,56.7265,43.2735,2.798,2.1855,0,0,0,0,0,0,0.049835
0bcdc2874f784d10060def14,d2-archer-n100,reference,"{""defense"":""1.5""}",A,B,2000,2,0,1998,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,99.668,0.332,5.005,0.014,0,0,0,0,0,0,0.05019,0,0,0,0,0,0,0,0,0,0,56.62,43.38,2.7945,2.1895,0,0,0,0,0,0,0.04984
0bcdc2874f784d10060def14,d2-archer-n100,reference,"{""defense"":""1.5""}",B,A,2000,0,0,2000,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.4125,43.5875,2.852,2.1275,0,0,0,0,0,0,0.049795,0,0,0,0,0,0,0,0,0,0,99.7235,0.2765,5.0235,0.01,0,0,0,0,0,0,0.050335
146b0320a612822c5108e1ca,d2-archer-n5,reference,"{""defense"":""1.5""}",A,B,2000,211,0,1789,1.887,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4.1425,0.8525,0.213,0.035,0,0,0,0,0,0,0.0496,0,0,0,0,0,0,0,0,0,0,2.1385,2.8525,0.103,0.142,0,0,0,0,0,0,0.049
146b0320a612822c5108e1ca,d2-archer-n5,reference,"{""defense"":""1.5""}",B,A,2000,206,0,1794,1.885,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.1485,2.8455,0.116,0.1395,0,0,0,0,0,0,0.0511,0,0,0,0,0,0,0,0,0,0,4.1285,0.866,0.2005,0.0545,0,0,0,0,0,0,0.051
1e88353a3aab775a384ff8c8,d2-archer-n100,reference,"{""defense"":""0.5""}",A,B,2000,2000,0,0,2.03,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,99.9955,0,4.984,0,0,0,0,0,0,0.04984,0,0,0,0,0,0,0,0,0,0,58.7455,41.2545,2.9055,2.09,0,0,0,0,0,0,0.049955
1e88353a3aab775a384ff8c8,d2-archer-n100,reference,"{""defense"":""0.5""}",B,A,2000,2000,0,0,2.032,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,58.671,41.329,2.9695,2.0125,0,0,0,0,0,0,0.04982,0,0,0,0,0,0,0,0,0,0,0,99.9875,0,5.025,0,0,0,0,0,0,0.05025
2aa44c51b41fc8d11f7bb65b,d2-archer-n100,reference,"{""defense"":""1.25""}",A,B,2000,1,0,1999,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,99.696,0.304,5.0055,0.015,0,0,0,0,0,0,0.050205,0,0,0,0,0,0,0,0,0,0,56.62,43.38,2.7945,2.1895,0,0,0,0,0,0,0.04984
2aa44c51b41fc8d11f7bb65b,d2-archer-n100,reference,"{""defense"":""1.25""}",B,A,2000,0,0,2000,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.4125,43.5875,2.852,2.1275,0,0,0,0,0,0,0.049795,0,0,0,0,0,0,0,0,0,0,99.711,0.289,5.0215,0.0085,0,0,0,0,0,0,0.0503
2d735fdc9014721f84e8eeef,d2-archer-n5,reference,"{""defense"":""2"",""rounds"":1}",A,B,2000,0,0,2000,1,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.3175,1.648,0.174,0.0805,0,0,0,0,0,0,0.0509,0,0,0,0,0,0,0,0,0,0,0.006,4.9415,0,0.2475,0,0,0,0,0,0,0.0495
2d735fdc9014721f84e8eeef,d2-archer-n5,reference,"{""defense"":""2"",""rounds"":1}",B,A,2000,0,0,2000,1,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0055,4.96,0,0.2295,0,0,0,0,0,0,0.0459,0,0,0,0,0,0,0,0,0,0,3.351,1.5965,0.161,0.07,0,0,0,0,0,0,0.0462
3cf12af034cfe34fde0a1a5b,d2-archer-n100,reference,"{""defense"":""1"",""rounds"":2}",A,B,2000,1007,0,993,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.4535,43.5465,2.856,2.1255,0,0,0,0,0,0,0.049815,0,0,0,0,0,0,0,0,0,0,56.6565,43.3435,2.7965,2.188,0,0,0,0,0,0,0.049845
3cf12af034cfe34fde0a1a5b,d2-archer-n100,reference,"{""defense"":""1"",""rounds"":2}",B,A,2000,951,0,1049,2,7000,,0,0,0,100,0,7000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,56.4535,43.5465,2.856,2.1255,0,0,0,0,0,0,0.049815,0,0,0,0,0,0,0,0,0,0,56.6565,43.3435,2.7965,2.188,0,0,0,0,0,0,0.049845
45c4fc9b0e9c402054f2d647,d2-archer-n5,reference,[],A,B,2000,1546,0,454,2.272,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1.5325,3.4645,0.0815,0.1585,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,3.549,1.4495,0.1745,0.0725,0,0,0,0,0,0,0.0494
45c4fc9b0e9c402054f2d647,d2-archer-n5,reference,[],B,A,2000,1542,0,458,2.265,350,,0,0,0,5,0,350,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3.548,1.452,0.1855,0.0735,0,0,0,0,0,0,0.0518,0,0,0,0,0,0,0,0,0,0,1.499,3.498,0.0665,0.18,0,0,0,0,0,0,0.0493
