experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
06931dc4290de3e1f0a21c49,d2-knight-n100,reference,"{""defense"":""0.75"",""rounds"":2}",A,B,2000,1867,0,133,1.0665,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,93.35,0.316,4.663,0,0.04979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.544,45.456,2.726,2.2815,0,0.050075
06931dc4290de3e1f0a21c49,d2-knight-n100,reference,"{""defense"":""0.75"",""rounds"":2}",B,A,2000,1863,0,137,1.0685,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.133,44.867,2.742,2.1925,0,0.049345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,93.15,0.338,4.619,0,0.04957
10d3ff9ecc8c3e4787d48f2e,d2-knight-n100,reference,"{""defense"":""0.5""}",A,B,2000,2000,0,0,1.0665,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,99.9975,0,4.9905,0,0.049905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.544,45.456,2.726,2.2815,0,0.050075
10d3ff9ecc8c3e4787d48f2e,d2-knight-n100,reference,"{""defense"":""0.5""}",B,A,2000,2000,0,0,1.0685,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.133,44.867,2.742,2.1925,0,0.049345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,99.999,0,4.976,0,0.04976
1629513e15751435619487af,d2-knight-n100,reference,"{""defense"":""1.75"",""rounds"":2}",A,B,2000,0,0,2000,1,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,4.9605,0,0,0.049605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.905,50.095,2.508,2.493,0,0.05001
1629513e15751435619487af,d2-knight-n100,reference,"{""defense"":""1.75"",""rounds"":2}",B,A,2000,0,0,2000,1,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3275,49.6725,2.491,2.436,0,0.04927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,4.985,0,0,0.04985
1f90c1c0a9a55b7d172171d1,d2-knight-n100,reference,"{""defense"":""1.75""}",A,B,2000,0,0,2000,1,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,4.9605,0,0,0.049605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.905,50.095,2.508,2.493,0,0.05001
1f90c1c0a9a55b7d172171d1,d2-knight-n100,reference,"{""defense"":""1.75""}",B,A,2000,0,0,2000,1,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3275,49.6725,2.491,2.436,0,0.04927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,4.985,0,0,0.04985
1ffb840c468f434aa9fe5e3c,d2-knight-n100,reference,"{""defense"":""1"",""rounds"":2}",A,B,2000,961,0,1039,1.003,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5375,49.4625,2.5,2.426,0,0.04926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1045,49.8955,2.518,2.482,0,0.05
1ffb840c468f434aa9fe5e3c,d2-knight-n100,reference,"{""defense"":""1"",""rounds"":2}",B,A,2000,992,0,1008,1.003,55000,,0,0,0,0,100,55000,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5375,49.4625,2.5,2.426,0,0.04926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1045,49.8955,2.518,2.482,0,0.05
