experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
22c6f8acae806d2268d61ec1,d2-soldier-n100,reference,"{""defense"":""1"",""rounds"":1}",A,B,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.387,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0,10.0715,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513
22c6f8acae806d2268d61ec1,d2-soldier-n100,reference,"{""defense"":""1"",""rounds"":1}",B,A,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005105,0,10.0715,0,0.3995,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003995
29a40ca4d0d03226fb237b9e,d2-soldier-n100,reference,"{""defense"":""2""}",A,B,2000,0,0,2000,11.268,1000,,0,100,0,0,0,1000,,0,100,0,0,0,37.7835,36.713,1.9195,1.3775,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03297,1.399,63.227,0.068,3.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03222
29a40ca4d0d03226fb237b9e,d2-soldier-n100,reference,"{""defense"":""2""}",B,A,2000,0,0,2000,11.285,1000,,0,100,0,0,0,1000,,0,100,0,0,0,1.39,63.5095,0.0715,3.1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03236,37.8585,36.791,1.855,1.3755,0.4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032305
2c31d8c7041fbd6dde1aac40,d2-soldier-n100,reference,"{""defense"":""1.75"",""rounds"":1}",A,B,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.387,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0,10.0715,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513
2c31d8c7041fbd6dde1aac40,d2-soldier-n100,reference,"{""defense"":""1.75"",""rounds"":1}",B,A,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005105,0,10.0715,0,0.3995,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003995
390fcfaf861a679d39a7175b,d2-soldier-n100,reference,"{""defense"":""1.25""}",A,B,2000,0,0,2000,19.2055,1000,,0,100,0,0,0,1000,,0,100,0,0,0,34.9515,54.223,1.7915,2.055,0.6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038465,9.691,74.6165,0.492,3.7175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042095
390fcfaf861a679d39a7175b,d2-soldier-n100,reference,"{""defense"":""1.25""}",B,A,2000,0,0,2000,19.14,1000,,0,100,0,0,0,1000,,0,100,0,0,0,9.5135,74.829,0.4775,3.7255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04203,35.032,54.017,1.7075,2.0225,0.6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373
3c1ff6280ee43c3e98dec424,d2-soldier-n100,reference,"{""defense"":""1.5"",""rounds"":1}",A,B,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.387,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0,10.0715,0,0.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513
3c1ff6280ee43c3e98dec424,d2-soldier-n100,reference,"{""defense"":""1.5"",""rounds"":1}",B,A,2000,0,0,2000,1,1000,,0,100,0,0,0,1000,,0,100,0,0,0,0,10.0105,0,0.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005105,0,10.0715,0,0.3995,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003995
