experiment_id,scenario_id,composition_id,axes_json,attacker,defender,samples,attacker_wins,draws,attacker_losses,mean_rounds,budget_A,target_budget_A,remainder_A,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,budget_B,target_budget_B,remainder_B,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,A_raw_dead_soldier,A_raw_wounded_soldier,A_projected_dead_soldier,A_projected_wounded_soldier,A_projected_prisoners_soldier,A_raw_dead_spearman,A_raw_wounded_spearman,A_projected_dead_spearman,A_projected_wounded_spearman,A_projected_prisoners_spearman,A_raw_dead_archer,A_raw_wounded_archer,A_projected_dead_archer,A_projected_wounded_archer,A_projected_prisoners_archer,A_raw_dead_knight,A_raw_wounded_knight,A_projected_dead_knight,A_projected_wounded_knight,A_projected_prisoners_knight,A_bench_economic_loss_rate,B_raw_dead_soldier,B_raw_wounded_soldier,B_projected_dead_soldier,B_projected_wounded_soldier,B_projected_prisoners_soldier,B_raw_dead_spearman,B_raw_wounded_spearman,B_projected_dead_spearman,B_projected_wounded_spearman,B_projected_prisoners_spearman,B_raw_dead_archer,B_raw_wounded_archer,B_projected_dead_archer,B_projected_wounded_archer,B_projected_prisoners_archer,B_raw_dead_knight,B_raw_wounded_knight,B_projected_dead_knight,B_projected_wounded_knight,B_projected_prisoners_knight,B_bench_economic_loss_rate
02d13805ae1a25ce09df3c39,d4-exact-equality,reference,"{""criterion"":""economic"",""equality"":""draw"",""rounds"":1}",A,B,2000,0,2000,0,1,10,,0,1,0,0,0,10,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02d13805ae1a25ce09df3c39,d4-exact-equality,reference,"{""criterion"":""economic"",""equality"":""draw"",""rounds"":1}",B,A,2000,0,2000,0,1,10,,0,1,0,0,0,10,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e04f4a46cdd10d30ff70bb9,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""defender"",""rounds"":1}",A,B,2000,731,0,1269,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.5765,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0.0315
0e04f4a46cdd10d30ff70bb9,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""defender"",""rounds"":1}",B,A,2000,893,0,1107,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.241,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.008
1c5efa9a8b5d53c35b12cb40,d4-asymmetric-one-on-one,reference,"{""criterion"":""economic"",""equality"":""defender"",""rounds"":1}",A,B,2000,0,0,2000,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.5765,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0.0315
1c5efa9a8b5d53c35b12cb40,d4-asymmetric-one-on-one,reference,"{""criterion"":""economic"",""equality"":""defender"",""rounds"":1}",B,A,2000,0,0,2000,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.241,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.008
23a25d892ab874813d5be04c,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""draw"",""rounds"":2}",A,B,2000,550,3,1447,2,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0,0.041,0,0,0,0,0,0,0.041,0,0,0,0,0,0.0005,0.899,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0.047
23a25d892ab874813d5be04c,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""draw"",""rounds"":2}",B,A,2000,907,3,1090,2,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0,0.041,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0.722,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0.036
267f373938f2bfb1fb231d55,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure""}",A,B,2000,585,0,1415,4.369,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7075,0.284,0.0405,0.014,0,0,0,0,0,0,0.0545,0,0,0,0,0,0.4665,0.5305,0.0225,0.0325,0,0,0,0,0,0,0,0,0,0,0,0.055
267f373938f2bfb1fb231d55,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure""}",B,A,2000,624,0,1376,6.659,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.548,0.026,0.027,0,0,0,0,0,0,0.053,0,0,0,0,0,0.688,0.3115,0.035,0.0155,0,0,0,0,0,0,0,0,0,0,0,0.0505
30da059a188e9a3baea3f275,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""draw"",""rounds"":1}",A,B,2000,731,95,1174,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.5765,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0.0315
30da059a188e9a3baea3f275,d4-asymmetric-one-on-one,reference,"{""criterion"":""structure"",""equality"":""draw"",""rounds"":1}",B,A,2000,893,95,1012,1,70,,0,0,0,1,0,70,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895,0,0.028,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0.241,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.008
3ce28d148916ecc068679893,d4-exact-equality,reference,[],A,B,2000,0,0,2000,20,10,,0,1,0,0,0,10,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
