path,plan,values,status
units.soldier.defendingEfficiency,D2-defense-soldier.json,"[""1"", ""0.5"", ""0.75"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
combat.maxRounds,D2-defense-soldier.json,"[20, 1, 2]",planned; current validator must confirm
units.spearman.defendingEfficiency,D2-defense-spearman.json,"[""2"", ""0.5"", ""0.75"", ""1"", ""1.25"", ""1.5"", ""1.75""]",planned; current validator must confirm
combat.maxRounds,D2-defense-spearman.json,"[20, 1, 2]",planned; current validator must confirm
units.archer.defendingEfficiency,D2-defense-archer.json,"[""0.75"", ""0.5"", ""1"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
combat.maxRounds,D2-defense-archer.json,"[20, 1, 2]",planned; current validator must confirm
units.knight.defendingEfficiency,D2-defense-knight.json,"[""1"", ""0.5"", ""0.75"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
combat.maxRounds,D2-defense-knight.json,"[20, 1, 2]",planned; current validator must confirm
units.soldier.attack,M-unit-soldier-attack-fixed-counts.json,"[""8"", ""4"", ""6"", ""12"", ""16""]",planned; current validator must confirm
units.soldier.structure,M-unit-soldier-structure-fixed-counts.json,"[""25"", ""12.5"", ""18.75"", ""37.5"", ""50""]",planned; current validator must confirm
units.soldier.baseAccuracy,M-unit-soldier-baseAccuracy-fixed-counts.json,"[""0.1"", ""0"", ""0.05"", ""0.2"", ""0.35"", ""0.5"", ""0.7"", ""0.9"", ""1""]",planned; current validator must confirm
units.soldier.accuracySpread,M-unit-soldier-accuracySpread-fixed-counts.json,"[""0"", ""0.05"", ""0.1"", ""0.2"", ""0.4""]",planned; current validator must confirm
units.soldier.strikesPerAttack,M-unit-soldier-strikesPerAttack-fixed-counts.json,"[1, 2, 3, 5, 8, 12, 16, 24, 32]",planned; current validator must confirm
units.soldier.defendingEfficiency,M-unit-soldier-defendingEfficiency-fixed-counts.json,"[""1"", ""0.5"", ""0.75"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
units.soldier.cost,M-unit-soldier-cost-fixed-counts.json,"[10, 5, 8, 15, 20]",planned; current validator must confirm
units.soldier.cost,M-unit-soldier-cost-fixed-budget.json,"[10, 5, 8, 15, 20]",planned; current validator must confirm
units.soldier.capturable,M-unit-soldier-capturable-fixed-counts.json,"[true, false]",planned; current validator must confirm
units.spearman.attack,M-unit-spearman-attack-fixed-counts.json,"[""12"", ""6"", ""9"", ""18"", ""24""]",planned; current validator must confirm
units.spearman.structure,M-unit-spearman-structure-fixed-counts.json,"[""120"", ""60"", ""90"", ""180"", ""240""]",planned; current validator must confirm
units.spearman.baseAccuracy,M-unit-spearman-baseAccuracy-fixed-counts.json,"[""0.6"", ""0"", ""0.05"", ""0.1"", ""0.2"", ""0.35"", ""0.5"", ""0.7"", ""0.9"", ""1""]",planned; current validator must confirm
units.spearman.accuracySpread,M-unit-spearman-accuracySpread-fixed-counts.json,"[""0"", ""0.05"", ""0.1"", ""0.2"", ""0.4""]",planned; current validator must confirm
units.spearman.strikesPerAttack,M-unit-spearman-strikesPerAttack-fixed-counts.json,"[1, 2, 3, 5, 8, 12, 16, 24, 32]",planned; current validator must confirm
units.spearman.defendingEfficiency,M-unit-spearman-defendingEfficiency-fixed-counts.json,"[""2"", ""0.5"", ""0.75"", ""1"", ""1.25"", ""1.5"", ""1.75""]",planned; current validator must confirm
units.spearman.cost,M-unit-spearman-cost-fixed-counts.json,"[70, 35, 53, 105, 140]",planned; current validator must confirm
units.spearman.cost,M-unit-spearman-cost-fixed-budget.json,"[70, 35, 53, 105, 140]",planned; current validator must confirm
units.spearman.capturable,M-unit-spearman-capturable-fixed-counts.json,"[false, true]",planned; current validator must confirm
units.archer.attack,M-unit-archer-attack-fixed-counts.json,"[""70"", ""35"", ""52.5"", ""105"", ""140""]",planned; current validator must confirm
units.archer.structure,M-unit-archer-structure-fixed-counts.json,"[""50"", ""25"", ""37.5"", ""75"", ""100""]",planned; current validator must confirm
units.archer.baseAccuracy,M-unit-archer-baseAccuracy-fixed-counts.json,"[""0.35"", ""0"", ""0.05"", ""0.1"", ""0.2"", ""0.5"", ""0.7"", ""0.9"", ""1""]",planned; current validator must confirm
units.archer.accuracySpread,M-unit-archer-accuracySpread-fixed-counts.json,"[""0"", ""0.05"", ""0.1"", ""0.2"", ""0.4""]",planned; current validator must confirm
units.archer.strikesPerAttack,M-unit-archer-strikesPerAttack-fixed-counts.json,"[5, 1, 2, 3, 8, 12, 16, 24, 32]",planned; current validator must confirm
units.archer.defendingEfficiency,M-unit-archer-defendingEfficiency-fixed-counts.json,"[""0.75"", ""0.5"", ""1"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
units.archer.cost,M-unit-archer-cost-fixed-counts.json,"[70, 35, 53, 105, 140]",planned; current validator must confirm
units.archer.cost,M-unit-archer-cost-fixed-budget.json,"[70, 35, 53, 105, 140]",planned; current validator must confirm
units.archer.capturable,M-unit-archer-capturable-fixed-counts.json,"[false, true]",planned; current validator must confirm
units.knight.attack,M-unit-knight-attack-fixed-counts.json,"[""350"", ""175"", ""262.5"", ""525"", ""700""]",planned; current validator must confirm
units.knight.structure,M-unit-knight-structure-fixed-counts.json,"[""250"", ""125"", ""187.5"", ""375"", ""500""]",planned; current validator must confirm
units.knight.baseAccuracy,M-unit-knight-baseAccuracy-fixed-counts.json,"[""0.7"", ""0"", ""0.05"", ""0.1"", ""0.2"", ""0.35"", ""0.5"", ""0.9"", ""1""]",planned; current validator must confirm
units.knight.accuracySpread,M-unit-knight-accuracySpread-fixed-counts.json,"[""0"", ""0.05"", ""0.1"", ""0.2"", ""0.4""]",planned; current validator must confirm
units.knight.strikesPerAttack,M-unit-knight-strikesPerAttack-fixed-counts.json,"[5, 1, 2, 3, 8, 12, 16, 24, 32]",planned; current validator must confirm
units.knight.defendingEfficiency,M-unit-knight-defendingEfficiency-fixed-counts.json,"[""1"", ""0.5"", ""0.75"", ""1.25"", ""1.5"", ""1.75"", ""2""]",planned; current validator must confirm
units.knight.cost,M-unit-knight-cost-fixed-counts.json,"[550, 275, 413, 825, 1100]",planned; current validator must confirm
units.knight.cost,M-unit-knight-cost-fixed-budget.json,"[550, 275, 413, 825, 1100]",planned; current validator must confirm
units.knight.capturable,M-unit-knight-capturable-fixed-counts.json,"[false, true]",planned; current validator must confirm
