plan,phase,scenarios,configurationsBeforeRuntimeDedup,combatsBeforeRuntimeDedup,status
plan-reference.json,M0,30,30,120000,generated; CLI preview required
D1-small-mirrors.json,D1,20,20,80000,generated; CLI preview required
D2-defense-soldier.json,D2,1,21,84000,generated; CLI preview required
D2-defense-spearman.json,D2,1,21,84000,generated; CLI preview required
D2-defense-archer.json,D2,2,42,168000,generated; CLI preview required
D2-defense-knight.json,D2,1,21,84000,generated; CLI preview required
M-unit-soldier-attack-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-soldier-structure-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-soldier-baseAccuracy-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-soldier-accuracySpread-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-soldier-strikesPerAttack-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-soldier-defendingEfficiency-fixed-counts.json,M,12,84,336000,generated; CLI preview required
M-unit-soldier-cost-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-soldier-cost-fixed-budget.json,M,12,60,240000,generated; CLI preview required
M-unit-soldier-capturable-fixed-counts.json,M,12,24,96000,generated; CLI preview required
M-unit-spearman-attack-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-spearman-structure-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-spearman-baseAccuracy-fixed-counts.json,M,12,120,480000,generated; CLI preview required
M-unit-spearman-accuracySpread-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-spearman-strikesPerAttack-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-spearman-defendingEfficiency-fixed-counts.json,M,12,84,336000,generated; CLI preview required
M-unit-spearman-cost-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-spearman-cost-fixed-budget.json,M,12,60,240000,generated; CLI preview required
M-unit-spearman-capturable-fixed-counts.json,M,12,24,96000,generated; CLI preview required
M-unit-archer-attack-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-archer-structure-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-archer-baseAccuracy-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-archer-accuracySpread-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-archer-strikesPerAttack-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-archer-defendingEfficiency-fixed-counts.json,M,12,84,336000,generated; CLI preview required
M-unit-archer-cost-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-archer-cost-fixed-budget.json,M,12,60,240000,generated; CLI preview required
M-unit-archer-capturable-fixed-counts.json,M,12,24,96000,generated; CLI preview required
M-unit-knight-attack-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-knight-structure-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-knight-baseAccuracy-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-knight-accuracySpread-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-knight-strikesPerAttack-fixed-counts.json,M,12,108,432000,generated; CLI preview required
M-unit-knight-defendingEfficiency-fixed-counts.json,M,12,84,336000,generated; CLI preview required
M-unit-knight-cost-fixed-counts.json,M,12,60,240000,generated; CLI preview required
M-unit-knight-cost-fixed-budget.json,M,12,60,240000,generated; CLI preview required
M-unit-knight-capturable-fixed-counts.json,M,12,24,96000,generated; CLI preview required
M-combat-maxRounds.json,M,30,210,840000,generated; CLI preview required
M-combat-tieBreakCriterion.json,M,30,60,240000,generated; CLI preview required
M-combat-equalityPolicy.json,M,30,60,240000,generated; CLI preview required
M-combat-lossCompressionPercent.json,M,30,180,720000,generated; CLI preview required
M-combat-capturePercent.json,M,30,150,600000,generated; CLI preview required
M-combat-woundDamageThreshold.json,M,30,270,1080000,generated; CLI preview required
M-combat-surrender.json,M,30,240,960000,generated; CLI preview required
M-counter-soldier-spearman.json,M,3,24,96000,generated; CLI preview required
M-counter-soldier-archer.json,M,3,24,96000,generated; CLI preview required
M-counter-soldier-knight.json,M,3,24,96000,generated; CLI preview required
M-counter-spearman-soldier.json,M,3,24,96000,generated; CLI preview required
M-counter-spearman-archer.json,M,3,24,96000,generated; CLI preview required
M-counter-spearman-knight.json,M,3,24,96000,generated; CLI preview required
M-counter-archer-soldier.json,M,3,24,96000,generated; CLI preview required
M-counter-archer-spearman.json,M,3,24,96000,generated; CLI preview required
M-counter-archer-knight.json,M,3,24,96000,generated; CLI preview required
M-counter-knight-soldier.json,M,3,24,96000,generated; CLI preview required
M-counter-knight-spearman.json,M,3,24,96000,generated; CLI preview required
M-counter-knight-archer.json,M,3,24,96000,generated; CLI preview required
M-weather-preset-neutral.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-cloudy.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-snow.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-blizzard.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-heat.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-canicule.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-wind.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-storm.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-rain.json,W,90,90,360000,generated; CLI preview required
M-weather-preset-thunderstorm.json,W,90,90,360000,generated; CLI preview required
W-factor-neutral-soldier-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-soldier-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-spearman-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-spearman-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-archer-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-archer-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-knight-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-neutral-knight-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-soldier-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-soldier-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-spearman-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-spearman-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-archer-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-archer-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-knight-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-cloudy-knight-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-soldier-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-soldier-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-spearman-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-spearman-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-archer-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-archer-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-knight-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-snow-knight-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-soldier-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-soldier-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-spearman-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-spearman-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-archer-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-archer-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-knight-attack.json,W,12,72,288000,generated; CLI preview required
W-factor-blizzard-knight-baseAccuracy.json,W,12,72,288000,generated; CLI preview required
