"plan","phase","sourcePlan","configurations","directions","combats","maxCombats","dependency","planSha256","status"
"plan-reference.json","M0","","30","60","120000","120000","","265b1576685f8012f6139db5e0da494848cfca397fa381f081012f78464a2742","previewed"
"D1-small-mirrors.json","D1","","20","40","80000","80000","M0","b6364e95af403b36dd4686ab0f8878ae292c56cc894994fcfc3e38e01c5ebb65","previewed"
"D2-defense-archer.json","D2","","42","84","168000","168000","M0","59da0be7475bed011016191f4508b286e4827791a8c6d227b75a7ce2cef9c209","previewed"
"D2-defense-knight.json","D2","","21","42","84000","84000","M0","c1dc82cb4c590469b8cb40b6d8687df05b555acd76f14d702b579b9827dd125f","previewed"
"D2-defense-soldier.json","D2","","21","42","84000","84000","M0","a169ba866746a0e9eb8ebf1b0bc638c5366facec7f4c50b8240c24fc46d2e4a1","previewed"
"D2-defense-spearman.json","D2","","21","42","84000","84000","M0","08fb0450878d56df4f312d98857bc279dc267648717ce953a32872e8eb469305","previewed"
"D3-physical-thresholds.json","D3","","21","42","84000","84000","D1|D2","90048b2865038e207c444e0dbee3c0c285b75165bb5f462f41786d521ada2ff6","previewed"
"D4-decision-rules.json","D4","","24","48","96000","96000","D1|D2","d9d66596b9c2f36e8c53853c67e15f451f9b40bb7d48061441e2c4d145ba41de","previewed"
"D5-accuracy-spread.json","D5","","30","60","120000","120000","D1|D2","4389a6c4ef727afee4bfb437e415a129cccb42d05aa0d8b4cd1ff9ea4c00ecc6","previewed"
"M-combat-capturePercent.json","M","","120","240","480000","480000","D1|D2|D3|D4|D5","1115cf2ac94af827a8220948c6b87802e33b27dbc4d16980ca97168ce22fc0ae","previewed"
"M-combat-equalityPolicy.json","M","","60","120","240000","240000","D1|D2|D3|D4|D5","1d4602d247ab7e1c3a9a37dcc1896a9778f25a5e5eae0be2fcb1623be2cb13c3","previewed"
"M-combat-tieBreakCriterion.json","M","","60","120","240000","240000","D1|D2|D3|D4|D5","a4d32e0b2d2850ff6264e1e46d9bc922e1942d5768887863645454c6bed51427","previewed"
